date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:00:35	139/139	---M-Z	200	added ('OK')	text/plain	etag:%22ca-5a2a43e6de419-gzip%22	https://www.parables.tv/robots.txt		(from )
19:00:35	75858/75858	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2000:00:35%20GMT	https://www.parables.tv/	/home/oem/websites/parables/index-2.html	(from )
19:00:35	199/199	---M--	403	error ('Forbidden')	text/html	date:Fri,%2001%20May%202020%2000:00:35%20GMT	https://www.parables.tv/wordpress/xmlrpc.php	/home/oem/websites/parables/wordpress/xmlrpc.php	(from https://www.parables.tv/)
19:00:36	1483/1483	---M--	200	added ('OK')	image/png	etag:%225cb-5a2a43e817bc0%22	https://www.parables.tv/wp-content/plugins/super-socializer/images/close.png	/home/oem/websites/parables/wp-content/plugins/super-socializer/images/close.png	(from https://www.parables.tv/)
19:00:37	1/1	---MC-	400	error ('Bad%20Request')	text/html	date:Fri,%2001%20May%202020%2000:00:37%20GMT	https://www.parables.tv/wordpress/wp-admin/admin-ajax.php	/home/oem/websites/parables/wordpress/wp-admin/admin-ajax.php	(from https://www.parables.tv/)
19:00:38	934/934	---M--	200	added ('OK')	image/png	etag:%223a6-5a2a43e817bc0%22	https://www.parables.tv/wp-content/plugins/super-socializer/images/logo.png	/home/oem/websites/parables/wp-content/plugins/super-socializer/images/logo.png	(from https://www.parables.tv/)
19:00:39	45229/45229	---M-Z	200	added ('OK')	text/javascript	date:Thu,%2006%20Feb%202020%2000:21:02%20GMT	http://www.google-analytics.com/analytics.js	/home/oem/websites/parables/analytics.js	(from https://www.parables.tv/)
19:00:40	251/251	---M--	302	error ('Found')	text/html	date:Fri,%2001%20May%202020%2000:00:40%20GMT	http://ajax.googleapis.com/	/home/oem/websites/parables/index-3.html	(from https://www.parables.tv/)
19:00:40	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2001%20May%202020%2000:00:40%20GMT	http://s.w.org/	/home/oem/websites/parables/index-6.html	(from https://www.parables.tv/)
19:00:40	1603/1603	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2001%20May%202020%2000:00:40%20GMT	http://fonts.googleapis.com/	/home/oem/websites/parables/index-5.html	(from https://www.parables.tv/)
19:00:40	19620/19620	---M-Z	200	added ('OK')	text/html	date:Fri,%2001%20May%202020%2000:00:40%20GMT	http://code.jquery.com/	/home/oem/websites/parables/index-4.html	(from https://www.parables.tv/)
19:00:41	41467/41467	---M-Z	200	added ('OK')	text/css	etag:%22a1fb-59f1970e6ee31-gzip%22	https://www.parables.tv/wordpress/wp-includes/css/dist/block-library/style.min.css?ver=5.3.2	/home/oem/websites/parables/wordpress/wp-includes/css/dist/block-library/style.min9dff.css	(from https://www.parables.tv/)
19:00:42	65142/65142	---M-Z	200	added ('OK')	text/css	etag:%22fe76-5a2a43e8b5f04-gzip%22	https://www.parables.tv/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=2.5.11	/home/oem/websites/parables/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/stylee64e.css	(from https://www.parables.tv/)
19:00:43	170/170	---M-Z	200	added ('OK')	text/css	etag:%22aa-5a2a43e6e517a-gzip%22	https://www.parables.tv/wp-content/plugins/bible-verse-of-the-day/bible-verse-of-the-day.css?ver=5.3.2	/home/oem/websites/parables/wp-content/plugins/bible-verse-of-the-day/bible-verse-of-the-day9dff.css	(from https://www.parables.tv/)
19:00:44	32269/32269	---M-Z	200	added ('OK')	text/css	etag:W/%2254499a48-7e0d%22	http://code.jquery.com/ui/1.10.0/themes/base/jquery-ui.css?ver=1.0.0	/home/oem/websites/parables/ui/1.10.0/themes/base/jquery-ui8a54.css	(from https://www.parables.tv/)
19:00:45	72922/72922	---M-Z	200	added ('OK')	text/css	etag:%2211cda-59f196fbfa421-gzip%22	https://www.parables.tv/wp-content/plugins/olymp-wp-plugin-schedule/css/animate.css?ver=1.0.0	/home/oem/websites/parables/wp-content/plugins/olymp-wp-plugin-schedule/css/animate8a54.css	(from https://www.parables.tv/)
19:00:46	1476/1476	---M-Z	200	added ('OK')	text/css	etag:%225c4-59f196fbfa421-gzip%22	https://www.parables.tv/wp-content/plugins/olymp-wp-plugin-schedule/js/owl-carousel/owl.carousel.css?ver=1.0.0	/home/oem/websites/parables/wp-content/plugins/olymp-wp-plugin-schedule/js/owl-carousel/owl.carousel8a54.css	(from https://www.parables.tv/)
19:00:47	47558/47558	---M-Z	200	added ('OK')	text/css	etag:%22b9c6-59f1970e6ee31-gzip%22	https://www.parables.tv/wordpress/wp-includes/css/dashicons.min.css?ver=5.3.2	/home/oem/websites/parables/wordpress/wp-includes/css/dashicons.min9dff.css	(from https://www.parables.tv/)
19:00:48	6057/6057	---M-Z	200	added ('OK')	text/css	etag:%2217a9-59f196fbfa421-gzip%22	https://www.parables.tv/wp-content/plugins/olymp-wp-plugin-schedule/css/olympSchedule.css?ver=2.1.0	/home/oem/websites/parables/wp-content/plugins/olymp-wp-plugin-schedule/css/olympSchedule3c94.css	(from https://www.parables.tv/)
